"municipio","micro","meso"
"Cacimbas","SERRA DO TEIXEIRA","SERTAO PARAIBANO"
"Caiçara","GUARABIRA","AGRESTE PARAIBANO"
"Cajazeiras","CAJAZEIRAS","SERTAO PARAIBANO"
"Cajazeirinhas","SOUSA","SERTAO PARAIBANO"
"Caldas Brandão","ITABAIANA","AGRESTE PARAIBANO"
"Camalaú","CARIRI OCIDENTAL","BORBOREMA"
"Campina Grande","CAMPINA GRANDE","AGRESTE PARAIBANO"
"Capim","LITORAL NORTE","MATA PARAIBANA"
"Caraúbas","CARIRI ORIENTAL","BORBOREMA"
"Carrapateira","CAJAZEIRAS","SERTAO PARAIBANO"
"Casserengue","CURIMATAU ORIENTAL","AGRESTE PARAIBANO"
"Catingueira","PIANCO","SERTAO PARAIBANO"
"Catolé do Rocha","CATOLE DO ROCHA","SERTAO PARAIBANO"
"Caturité","CARIRI ORIENTAL","BORBOREMA"
"Conceição","ITAPORANGA","SERTAO PARAIBANO"
"Condado","SOUSA","SERTAO PARAIBANO"
"Conde","JOAO PESSOA","MATA PARAIBANA"
"Congo","CARIRI OCIDENTAL","BORBOREMA"
"Coremas","PIANCO","SERTAO PARAIBANO"
"Coxixola","CARIRI OCIDENTAL","BORBOREMA"
"Cruz do Espírito Santo","SAPE","MATA PARAIBANA"
"Cubati","SERIDO ORIENTAL PARAIBANO","BORBOREMA"
"Cuité","CURIMATAU OCIDENTAL","AGRESTE PARAIBANO"
"Cuité de Mamanguape","LITORAL NORTE","MATA PARAIBANA"
"Cuitegi","GUARABIRA","AGRESTE PARAIBANO"
"Curral de Cima","LITORAL NORTE","MATA PARAIBANA"
"Curral Velho","ITAPORANGA","SERTAO PARAIBANO"
"Damião","CURIMATAU OCIDENTAL","AGRESTE PARAIBANO"
"Desterro","SERRA DO TEIXEIRA","SERTAO PARAIBANO"
"Diamante","ITAPORANGA","SERTAO PARAIBANO"
"Dona Inês","CURIMATAU ORIENTAL","AGRESTE PARAIBANO"
"Duas Estradas","GUARABIRA","AGRESTE PARAIBANO"
"Emas","PIANCO","SERTAO PARAIBANO"
"Esperança","ESPERANCA","AGRESTE PARAIBANO"
"Fagundes","CAMPINA GRANDE","AGRESTE PARAIBANO"
"Frei Martinho","SERIDO ORIENTAL PARAIBANO","BORBOREMA"
"Gado Bravo","UMBUZEIRO","AGRESTE PARAIBANO"
"Guarabira","GUARABIRA","AGRESTE PARAIBANO"
"Gurinhém","ITABAIANA","AGRESTE PARAIBANO"
"Gurjão","CARIRI ORIENTAL","BORBOREMA"
"Ibiara","ITAPORANGA","SERTAO PARAIBANO"
"Igaracy","PIANCO","SERTAO PARAIBANO"
"Imaculada","SERRA DO TEIXEIRA","SERTAO PARAIBANO"
"Ingá","ITABAIANA","AGRESTE PARAIBANO"
"Itabaiana","ITABAIANA","AGRESTE PARAIBANO"
"Itaporanga","ITAPORANGA","SERTAO PARAIBANO"
"Itapororoca","LITORAL NORTE","MATA PARAIBANA"
"Itatuba","ITABAIANA","AGRESTE PARAIBANO"
"Jacaraú","LITORAL NORTE","MATA PARAIBANA"
"Jericó","CATOLE DO ROCHA","SERTAO PARAIBANO"
"João Pessoa","JOAO PESSOA","MATA PARAIBANA"
"Joca Claudino","CAJAZEIRAS","SERTAO PARAIBANO"
"Juarez Távora","ITABAIANA","AGRESTE PARAIBANO"
"Juazeirinho","SERIDO ORIENTAL PARAIBANO","BORBOREMA"
"Junco do Seridó","SERIDO OCIDENTAL PARAIBANO","BORBOREMA"
"Juripiranga","SAPE","MATA PARAIBANA"
"Juru","SERRA DO TEIXEIRA","SERTAO PARAIBANO"
"Lagoa","CATOLE DO ROCHA","SERTAO PARAIBANO"
"Lagoa de Dentro","GUARABIRA","AGRESTE PARAIBANO"
"Lagoa Seca","CAMPINA GRANDE","AGRESTE PARAIBANO"
"Lastro","SOUSA","SERTAO PARAIBANO"
"Livramento","CARIRI OCIDENTAL","BORBOREMA"
"Logradouro","GUARABIRA","AGRESTE PARAIBANO"
"Lucena","JOAO PESSOA","MATA PARAIBANA"
"Mãe d'Água","PATOS","SERTAO PARAIBANO"
"Malta","SOUSA","SERTAO PARAIBANO"
"Mamanguape","LITORAL NORTE","MATA PARAIBANA"
"Manaíra","SERRA DO TEIXEIRA","SERTAO PARAIBANO"
"Marcação","LITORAL NORTE","MATA PARAIBANA"
"Mari","SAPE","MATA PARAIBANA"
"Marizópolis","SOUSA","SERTAO PARAIBANO"
"Massaranduba","CAMPINA GRANDE","AGRESTE PARAIBANO"
"Mataraca","LITORAL NORTE","MATA PARAIBANA"
"Matinhas","BREJO PARAIBANO","AGRESTE PARAIBANO"
"Mato Grosso","CATOLE DO ROCHA","SERTAO PARAIBANO"
"Maturéia","SERRA DO TEIXEIRA","SERTAO PARAIBANO"
"Mogeiro","ITABAIANA","AGRESTE PARAIBANO"
"Montadas","ESPERANCA","AGRESTE PARAIBANO"
"Monte Horebe","CAJAZEIRAS","SERTAO PARAIBANO"
"Monteiro","CARIRI OCIDENTAL","BORBOREMA"
"Mulungu","GUARABIRA","AGRESTE PARAIBANO"
"Natuba","UMBUZEIRO","AGRESTE PARAIBANO"
"Nazarezinho","SOUSA","SERTAO PARAIBANO"
"Nova Floresta","CURIMATAU OCIDENTAL","AGRESTE PARAIBANO"
"Nova Olinda","PIANCO","SERTAO PARAIBANO"
"Nova Palmeira","SERIDO ORIENTAL PARAIBANO","BORBOREMA"
"Olho d'Água","PIANCO","SERTAO PARAIBANO"
"Olivedos","CURIMATAU OCIDENTAL","AGRESTE PARAIBANO"
"Ouro Velho","CARIRI OCIDENTAL","BORBOREMA"
"Parari","CARIRI OCIDENTAL","BORBOREMA"
"Passagem","PATOS","SERTAO PARAIBANO"
"Patos","PATOS","SERTAO PARAIBANO"
"Paulista","SOUSA","SERTAO PARAIBANO"
"Pedra Branca","ITAPORANGA","SERTAO PARAIBANO"
"Pedra Lavrada","SERIDO ORIENTAL PARAIBANO","BORBOREMA"
"Pedras de Fogo","LITORAL SUL","MATA PARAIBANA"
"Pedro Régis","LITORAL NORTE","MATA PARAIBANA"
"Piancó","PIANCO","SERTAO PARAIBANO"
"Picuí","SERIDO ORIENTAL PARAIBANO","BORBOREMA"
"Pilar","SAPE","MATA PARAIBANA"
"Pilões","BREJO PARAIBANO","AGRESTE PARAIBANO"
"Pilõezinhos","GUARABIRA","AGRESTE PARAIBANO"
"Pirpirituba","GUARABIRA","AGRESTE PARAIBANO"
"Pitimbu","LITORAL SUL","MATA PARAIBANA"
"Pocinhos","CURIMATAU OCIDENTAL","AGRESTE PARAIBANO"
"Poço Dantas","CAJAZEIRAS","SERTAO PARAIBANO"
"Poço de José de Moura","CAJAZEIRAS","SERTAO PARAIBANO"
"Pombal","SOUSA","SERTAO PARAIBANO"
"Prata","CARIRI OCIDENTAL","BORBOREMA"
"Princesa Isabel","SERRA DO TEIXEIRA","SERTAO PARAIBANO"
"Puxinanã","CAMPINA GRANDE","AGRESTE PARAIBANO"
"Queimadas","CAMPINA GRANDE","AGRESTE PARAIBANO"
"Quixabá","PATOS","SERTAO PARAIBANO"
"Remígio","CURIMATAU OCIDENTAL","AGRESTE PARAIBANO"
"Riachão","CURIMATAU ORIENTAL","AGRESTE PARAIBANO"
"Riachão do Bacamarte","ITABAIANA","AGRESTE PARAIBANO"
"Riachão do Poço","SAPE","MATA PARAIBANA"
"Riacho de Santo Antônio","CARIRI ORIENTAL","BORBOREMA"
"Riacho dos Cavalos","CATOLE DO ROCHA","SERTAO PARAIBANO"
"Rio Tinto","LITORAL NORTE","MATA PARAIBANA"
"Salgadinho","SERIDO OCIDENTAL PARAIBANO","BORBOREMA"
"Salgado de São Félix","ITABAIANA","AGRESTE PARAIBANO"
"Santa Cecília","UMBUZEIRO","AGRESTE PARAIBANO"
"Santa Cruz","SOUSA","SERTAO PARAIBANO"
"Santa Helena","CAJAZEIRAS","SERTAO PARAIBANO"
"Santa Inês","ITAPORANGA","SERTAO PARAIBANO"
"Santa Luzia","SERIDO OCIDENTAL PARAIBANO","BORBOREMA"
"Santa Rita","JOAO PESSOA","MATA PARAIBANA"
"Santa Teresinha","PATOS","SERTAO PARAIBANO"
"Santana de Mangueira","ITAPORANGA","SERTAO PARAIBANO"
"Santana dos Garrotes","PIANCO","SERTAO PARAIBANO"
"Santo André","CARIRI ORIENTAL","BORBOREMA"
"São Bentinho","SOUSA","SERTAO PARAIBANO"
"São Bento","CATOLE DO ROCHA","SERTAO PARAIBANO"
"São Domingos de Pombal","SOUSA","SERTAO PARAIBANO"
"São Domingos do Cariri","CARIRI ORIENTAL","BORBOREMA"
"São Francisco","SOUSA","SERTAO PARAIBANO"
"São João do Cariri","CARIRI ORIENTAL","BORBOREMA"
"São João do Rio do Peixe","CAJAZEIRAS","SERTAO PARAIBANO"
"São João do Tigre","CARIRI OCIDENTAL","BORBOREMA"
"São José da Lagoa Tapada","SOUSA","SERTAO PARAIBANO"
"São José de Caiana","ITAPORANGA","SERTAO PARAIBANO"
"São José de Espinharas","PATOS","SERTAO PARAIBANO"
"São José de Piranhas","CAJAZEIRAS","SERTAO PARAIBANO"
"São José de Princesa","SERRA DO TEIXEIRA","SERTAO PARAIBANO"
"São José do Bonfim","PATOS","SERTAO PARAIBANO"
"São José do Brejo do Cruz","CATOLE DO ROCHA","SERTAO PARAIBANO"
"São José do Sabugi","SERIDO OCIDENTAL PARAIBANO","BORBOREMA"
"São José dos Cordeiros","CARIRI OCIDENTAL","BORBOREMA"
"São José dos Ramos","SAPE","MATA PARAIBANA"
"São Mamede","SERIDO OCIDENTAL PARAIBANO","BORBOREMA"
"São Miguel de Taipu","SAPE","MATA PARAIBANA"
"São Sebastião de Lagoa de Roça","ESPERANCA","AGRESTE PARAIBANO"
"São Sebastião do Umbuzeiro","CARIRI OCIDENTAL","BORBOREMA"
"São Vicente do Seridó","SERIDO ORIENTAL PARAIBANO","BORBOREMA"
"Sapé","SAPE","MATA PARAIBANA"
"Serra Branca","CARIRI OCIDENTAL","BORBOREMA"
"Serra da Raiz","GUARABIRA","AGRESTE PARAIBANO"
"Serra Grande","ITAPORANGA","SERTAO PARAIBANO"
"Serra Redonda","CAMPINA GRANDE","AGRESTE PARAIBANO"
"Serraria","BREJO PARAIBANO","AGRESTE PARAIBANO"
"Sertãozinho","GUARABIRA","AGRESTE PARAIBANO"
"Sobrado","SAPE","MATA PARAIBANA"
"Solânea","CURIMATAU ORIENTAL","AGRESTE PARAIBANO"
"Soledade","CURIMATAU OCIDENTAL","AGRESTE PARAIBANO"
"Sossêgo","CURIMATAU OCIDENTAL","AGRESTE PARAIBANO"
"Sousa","SOUSA","SERTAO PARAIBANO"
"Sumé","CARIRI OCIDENTAL","BORBOREMA"
"Tacima","CURIMATAU ORIENTAL","AGRESTE PARAIBANO"
"Taperoá","CARIRI OCIDENTAL","BORBOREMA"
"Tavares","SERRA DO TEIXEIRA","SERTAO PARAIBANO"
"Teixeira","SERRA DO TEIXEIRA","SERTAO PARAIBANO"
"Tenório","SERIDO ORIENTAL PARAIBANO","BORBOREMA"
"Triunfo","CAJAZEIRAS","SERTAO PARAIBANO"
"Uiraúna","CAJAZEIRAS","SERTAO PARAIBANO"
"Umbuzeiro","UMBUZEIRO","AGRESTE PARAIBANO"
"Várzea","SERIDO OCIDENTAL PARAIBANO","BORBOREMA"
"Vieirópolis","SOUSA","SERTAO PARAIBANO"
"Vista Serrana","SOUSA","SERTAO PARAIBANO"
"Zabelê","CARIRI OCIDENTAL","BORBOREMA"
