"estado","estadoSigla","municipio","cnes","dataNotificacaoOcupacao","ocupHospCli","ocupHospUti","ocupSRAGCli","ocupSRAGUti","altas","obitos","ocupacaoInformada","algumaOcupacaoInformada","nomeCnes","ofertaRespiradores","ofertaHospCli","ofertaHospUti","ofertaSRAGCli","ofertaSRAGUti"
"Rio Grande do Norte","RN","Touros","2593874","2020-08-05T03:00:28.824Z",7.0,0.0,1.0,0,0.0,0,True,True,"HOSPITAL MINISTRO PAULO DE ALMEIDA MACHADO",0.0,30.0,0.0,0.0,0.0
"Amazonas","AM","Lábrea","2012618","2020-05-06T04:00:00.000Z",8.0,0.0,0.0,0,0.0,0,True,True,"UNIDADE HOSPITALAR DE LABREA",0.0,59.0,0.0,6.0,5.0
"Amazonas","AM","Manaus","2012685","2020-06-15T19:26:25.251Z",54.0,4.0,2.0,2,2.0,0,True,True,"FUNDACAO HOSPITAL ADRIANO JORGE",13.0,206.0,12.0,0.0,0.0
"Amazonas","AM","Manaus","2013606","2020-04-25T00:59:07.525Z",65.0,7.0,9.0,6,0.0,0,True,True,"FUNDACAO DE MEDICINA TROPICAL",14.0,90.0,17.0,0.0,0.0
"Amazonas","AM","Guajará","2017997","2020-07-15T03:00:44.636Z",10.0,0.0,0.2,0,0.0,0,True,True,"UNIDADE HOSPITALAR DE GUAJARA",0.0,21.0,0.0,0.0,0.0
"São Paulo","SP","Presidente Prudente","2080516","2020-05-20T12:20:43.562Z",53.0,4.0,7.0,1,0.0,0,True,True,"HOSPITAL GERAL IAMADA PRES PRUDENTE",0.0,87.0,10.0,0.0,0.0
"São Paulo","SP","São Paulo","2081288","2020-04-29T20:48:35.544Z",84.0,14.0,56.0,19,3.0,1,True,True,"HOSPITAL DO CORACAO",0.0,198.0,61.0,0.0,0.0
"Minas Gerais","MG","Itabirinha","2102579","2020-07-06T17:48:47.034Z",4.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL SAO LUCAS DE ITABIRINHA",0.0,20.0,0.0,0.0,0.0
"Minas Gerais","MG","Nova Lima","2117037","2020-07-17T03:00:16.348Z",24.0,8.0,2.0,1,0.0,1,True,True,"NOVA LIMA HOSPITAL NOSSA SENHORA DE LOURDES",12.0,87.0,10.0,0.0,0.0
"Minas Gerais","MG","Caratinga","2118459","2020-05-21T00:58:48.139Z",0.0,0.0,0.0,0,0.0,0,True,True,"CASA DE SAUDE UNIAO",0.0,39.0,0.0,0.0,0.0
"Minas Gerais","MG","Virginópolis","2144557","2020-04-18T03:00:00.000Z",10.0,0.0,1.0,0,0.0,1,True,True,"HOSPITAL SAO JOSE VIRGINOPOLIS",0.0,47.0,0.0,0.0,0.0
"Minas Gerais","MG","Rio Piracicaba","2144611","2020-07-10T11:44:37.907Z",2.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL JULIA KUBITSCHEK",2.0,38.0,0.0,0.0,0.0
"Minas Gerais","MG","Iguatama","2160498","2020-07-03T20:57:31.521Z",0.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL SAO FRANCISCO",0.0,16.0,0.0,0.0,0.0
"Minas Gerais","MG","Conceição da Aparecida","2167565","2020-04-22T03:00:00.000Z",1.0,0.0,1.0,0,0.0,1,True,True,"HOSPITAL MUNICIPAL JOAO AMELIO FREIRE",0.0,19.0,0.0,0.0,0.0
"Minas Gerais","MG","Monte Carmelo","2206498","2020-08-04T03:00:26.666Z",10.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL E MATERNIDADE VIRGILIO ROSA LTDA",0.0,42.0,0.0,0.0,0.0
"Rio Grande do Sul","RS","Sant'Ana do Livramento","2248220","2020-07-19T19:07:44.000Z",0.0,9.0,3.0,1,0.0,0,True,True,"SANTA CASA DE MISERICORDIA",10.0,105.0,10.0,9.0,3.0
"Rio de Janeiro","RJ","Valença","2295075","2020-05-28T13:13:34.559Z",1.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL GUSTAVO MONTEIRO JUNIOR",1.0,51.0,0.0,0.0,0.0
"Rio de Janeiro","RJ","Rio de Janeiro","2298724","2020-05-20T03:00:00.000Z",25.0,8.0,0.0,0,6.0,0,True,True,"SES RJ HOSPITAL ESTADUAL ANCHIETA",4.0,61.0,0.0,0.0,0.0
"Santa Catarina","SC","Anita Garibaldi","2300435","2020-05-08T14:13:38.245Z",4.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL FREI ROGERIO",0.0,38.0,0.0,0.0,0.0
"Pará","PA","Curuçá","2311992","2020-05-02T17:21:21.125Z",3.0,0.0,3.0,0,2.0,1,True,True,"HOSPITAL MUNICIPAL DE CURUCA",1.0,40.0,0.0,0.0,0.0
"Pará","PA","Cametá","2313367","2020-05-15T03:00:00.000Z",0.0,0.0,23.0,6,1.0,0,True,True,"HOSPITAL REGIONAL DE CAMETA",1.0,60.0,0.0,0.0,0.0
"Paraíba","PB","Uiraúna","2322730","2020-07-08T17:38:24.585Z",0.0,0.0,1.0,0,1.0,0,True,True,"HOSPITAL MENINO JESUS APASEU",0.0,27.0,0.0,0.0,0.0
"Piauí","PI","Barras","2323915","2020-04-16T18:46:08.694Z",10.0,0.0,1.0,0,0.0,0,True,True,"2 DRS HOSP REGIONAL LEONIDAS MELO",1.0,81.0,0.0,10.0,0.0
"Ceará","CE","Choró","2328070","2020-07-26T03:00:14.978Z",2.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MATERNIDADE PE JOSE BEZERRA FILHO",0.0,16.0,0.0,8.0,0.0
"Pará","PA","Anapu","2330938","2020-07-17T03:00:13.720Z",0.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL OSCAR DE DEA",1.0,45.0,0.0,31.0,0.0
"Pará","PA","São Geraldo do Araguaia","2333430","2020-06-02T19:47:26.183Z",2.0,0.0,2.0,0,2.0,0,True,True,"HOSPITAL MUNICIPAL DE SAO GERALDO DO ARAGUAIA",0.0,41.0,0.0,0.0,0.0
"Pará","PA","Belém","2340992","2020-05-13T18:43:38.154Z",31.0,10.0,0.0,0,0.0,0,True,True,"HOSPITAL ORDEM TERCEIRA",16.0,130.0,13.0,45.0,0.0
"Pernambuco","PE","Dormentes","2350289","2020-06-07T16:25:48.335Z",3.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL NOSSA SENHORA DA PAZ",0.0,27.0,0.0,4.0,0.0
"Ceará","CE","Iracema","2372622","2020-05-27T17:09:53.050Z",2.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL E MATERNIDADE MARIA ROQUE DE MACEDO",0.0,33.0,0.0,2.0,0.0
"Bahia","BA","Brumado","2386569","2020-07-20T03:00:35.052Z",35.0,20.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL PROF MAGALHAES NETO",10.0,100.0,10.0,0.0,0.0
"Paraíba","PB","João Pessoa","2400243","2020-06-01T17:27:44.127Z",3.0,3.0,7.0,10,0.0,0,True,True,"HOSPITAL UNIVERSITARIO LAURO WANDERLEY",41.0,157.0,18.0,20.0,14.0
"Bahia","BA","Salvador","2417189","2020-06-09T14:10:22.335Z",18.0,9.0,0.0,0,0.0,0,True,True,"HOSPITAL CRISTO REDENTOR",13.0,90.0,9.0,0.0,0.0
"Bahia","BA","Itarantim","2417456","2020-05-11T03:00:00.000Z",3.0,0.0,1.0,0,0.0,1,True,True,"HOSPITAL REGIONAL DE ITARANTIM",0.0,30.0,0.0,0.0,0.0
"Ceará","CE","Porteiras","2426749","2020-07-14T03:00:52.746Z",0.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL MANUEL TAVARES ROSENDO",0.0,31.0,0.0,0.0,0.0
"Espírito Santo","ES","Mimoso do Sul","2448173","2020-05-19T18:00:58.411Z",0.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL APOSTOLO PEDRO",2.0,57.0,0.0,0.0,0.0
"Bahia","BA","Malhada","2493195","2020-06-04T10:01:24.862Z",5.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL SAO GERALDO",0.0,22.0,0.0,0.0,0.0
"Bahia","BA","Palmas de Monte Alto","2506572","2020-06-04T12:09:43.639Z",6.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL MILTON FARIA DIAS LARANJEIRA",0.0,54.0,0.0,0.0,0.0
"Ceará","CE","Ererê","2526670","2020-04-19T03:00:00.000Z",0.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL FRANCISCO NOGUEIRA DE QUEIROZ",0.0,9.0,0.0,0.0,0.0
"Ceará","CE","Canindé","2527413","2020-07-22T03:00:58.231Z",18.0,0.0,7.0,0,0.0,0,True,True,"HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO",2.0,133.0,0.0,8.0,0.0
"Pará","PA","Uruará","2537028","2020-06-07T18:47:12.535Z",5.0,0.0,3.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL DE URUARA",0.0,78.0,0.0,0.0,0.0
"Ceará","CE","Ipaumirim","2554771","2020-07-06T20:07:05.654Z",8.0,0.0,1.0,0,0.0,0,True,True,"HOSPITAL MATERNIDADE MARIA JOSE DOS SANTOS",0.0,26.0,0.0,6.0,0.0
"Bahia","BA","Caetité","2557118","2020-07-15T03:00:51.795Z",20.0,0.0,3.0,0,1.0,0,True,True,"HOSPITAL REGIONAL E MATERNIDADE SANTANA DE CAETITE",3.0,77.0,0.0,0.0,0.0
"Ceará","CE","Icapuí","2561042","2020-06-08T22:29:34.030Z",0.0,0.0,1.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL MARIA IDALINA RODRIGUES DE MEDEIROS",0.0,14.0,0.0,0.0,0.0
"Ceará","CE","Viçosa do Ceará","2561425","2020-06-18T03:00:00.000Z",22.0,0.0,13.0,0,1.0,0,True,True,"HOSP MATERN MUNICIPAL",0.0,69.0,0.0,22.0,0.0
"Ceará","CE","Morrinhos","2563479","2020-06-08T18:25:54.959Z",4.0,0.0,0.0,0,1.0,0,True,True,"HOSPITAL MUNICIPAL DE MORRINHOS",0.0,21.0,0.0,0.0,0.0
"Roraima","RR","Boa Vista","2566168","2020-07-16T04:00:00.000Z",108.0,23.0,8.0,4,1.0,0,True,True,"HOSPITAL MATERNO INFANTIL N SRA DE NAZARETH",36.0,185.0,0.0,29.0,4.0
"Paraná","PR","Guaraniaçu","2572443","2020-06-11T21:10:41.108Z",4.0,0.0,3.0,0,1.0,0,True,True,"HOSPITAL SANTO ANTONIO",0.0,52.0,0.0,0.0,0.0
"Paraná","PR","Nova Aurora","2573172","2020-05-08T18:42:28.139Z",5.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL DR AURELIO",0.0,49.0,0.0,0.0,0.0
"Bahia","BA","Chorrochó","2601907","2020-04-16T23:36:05.073Z",0.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL GERAL MONICA SILVANY GOMES RAMOS DOS SANT",0.0,15.0,0.0,0.0,0.0
"Pará","PA","Tucuruí","2621614","2020-05-15T03:00:00.000Z",52.0,7.0,2.0,4,0.0,1,True,True,"HOSPITAL REGIONAL DE TUCURUI",20.0,148.0,13.0,7.0,14.0
"Ceará","CE","Fortaleza","2644975","2020-07-06T18:17:28.799Z",121.0,7.0,4.0,0,0.0,0,True,True,"HOSPITAL BATISTA MEMORIAL",0.0,218.0,6.0,124.0,7.0
"Santa Catarina","SC","Faxinal dos Guedes","2652099","2020-05-31T03:00:00.000Z",2.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL SAO CRISTOVAO",0.0,35.0,0.0,0.0,0.0
"Pará","PA","Augusto Corrêa","2678578","2020-05-11T22:01:36.121Z",23.0,0.0,0.0,0,1.0,1,True,True,"HOSPITAL MATERNIDADE SAO MIGUEL",0.0,86.0,0.0,23.0,0.0
"Paraíba","PB","Serra Branca","2682710","2020-04-28T19:01:45.271Z",4.0,0.0,2.0,0,0.0,0,True,True,"HOSPITAL GERAL DE SERRA BRANCA",1.0,58.0,0.0,0.0,0.0
"Pernambuco","PE","Verdejante","2703106","2020-07-22T03:00:00.000Z",0.0,0.0,1.0,0,0.0,0,True,True,"UNIDADE MISTA ADELAIDE TAVARES DE SA",0.0,15.0,0.0,5.0,0.0
"Paraná","PR","Prudentópolis","2743388","2020-07-27T03:00:42.380Z",2.0,0.0,2.0,0,2.0,0,True,True,"HOSPITAL IRMANDADE DA SANTA CASA",1.0,68.0,0.0,0.0,0.0
"Pernambuco","PE","Recife","2777460","2020-07-30T03:00:01.217Z",71.0,8.0,1.0,0,0.0,0,True,True,"HOSPITAL SANTO AMARO",18.0,148.0,10.0,0.0,10.0
"Piauí","PI","Campo Maior","2777754","2020-06-23T03:00:00.000Z",30.0,0.0,9.0,0,11.0,0,True,True,"HOSP REG DE CAMPO MAIOR",1.0,88.0,0.0,15.0,0.0
"Bahia","BA","Cipó","2799812","2020-06-11T19:15:55.488Z",25.0,0.0,2.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL DE CIPO",0.0,30.0,0.0,0.0,0.0
"Bahia","BA","Salvador","2802104","2020-07-15T03:00:48.131Z",383.0,20.0,6.0,1,0.0,0,True,True,"HOSPITAL SANTO ANTONIO",52.0,924.0,30.0,0.0,0.0
"Bahia","BA","Wagner","2814048","2020-06-30T16:46:34.928Z",6.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL E MATERNIDADE PONTE NOVA",0.0,37.0,0.0,0.0,0.0
"Rio de Janeiro","RJ","Campos dos Goytacazes","3002187","2020-07-09T03:00:00.000Z",47.0,10.0,5.0,1,0.0,0,True,True,"HOSPITAL GERAL DE GUARUS",8.0,79.0,13.0,0.0,0.0
"Maranhão","MA","São Luís","3344614","2020-05-25T03:00:00.000Z",22.0,4.0,8.0,4,0.0,1,True,True,"HOSPITAL GERAL DA VILA LUIZAO",2.0,49.0,10.0,0.0,0.0
"São Paulo","SP","São Paulo","3477355","2020-05-24T13:13:43.926Z",0.0,0.0,0.0,0,0.0,0,True,True,"PREMIER RESIDENCE HOSPITAL",0.0,74.0,0.0,0.0,0.0
"Rio de Janeiro","RJ","Itaboraí","3784916","2020-07-12T03:00:52.186Z",98.0,8.0,0.0,0,0.0,0,True,True,"SES RJ HOSPITAL ESTADUAL PREF JOAO BAPTISTA CAFFARO",10.0,108.0,8.0,0.0,0.0
"Pará","PA","Viseu","4006429","2020-07-15T03:00:00.000Z",1.0,0.0,1.0,0,0.0,1,True,True,"HOSPITAL DAS BEM AVENTURANCAS HBA",0.0,67.0,0.0,14.0,0.0
"Bahia","BA","Mairi","4028511","2020-06-11T18:28:00.709Z",4.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL DEPUTADO LUIS EDUARDO MAGALHAES",2.0,28.0,0.0,0.0,0.0
"Bahia","BA","Piripá","4029844","2020-07-09T10:10:54.839Z",0.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL MARIA PEREIRA BARBOSA",0.0,17.0,0.0,0.0,0.0
"Bahia","BA","Urandi","4033418","2020-06-04T11:47:06.438Z",2.0,0.0,1.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL PADRE ANTONIO MANOEL DA ROCHA",1.0,36.0,0.0,0.0,0.0
"São Paulo","SP","São Roque","5237750","2020-07-28T03:00:41.134Z",3.0,5.0,2.0,0,0.0,0,True,True,"HOSPITAL UNIMED SAO ROQUE",0.0,34.0,5.0,0.0,0.0
"São Paulo","SP","Carapicuíba","6014739","2020-07-26T22:56:46.897Z",0.0,0.0,2.0,0,1.0,0,True,True,"CENTRO DE COMBATE COVID 19 POLICLINICA",0.0,27.0,0.0,27.0,0.0
"Bahia","BA","Iuiú","6670385","2020-06-04T11:38:41.049Z",1.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL EDVALDO PEREIRA MAGALHAES",0.0,14.0,0.0,0.0,0.0
"Ceará","CE","Cariré","7043597","2020-05-31T03:00:00.000Z",4.0,0.0,4.0,0,1.0,0,True,True,"HOSPITAL MUNICIPAL DE CARIRE",0.0,18.0,0.0,3.0,0.0
"Rondônia","RO","Porto Velho","7068336","2020-05-20T20:56:50.397Z",19.0,8.0,1.0,4,0.0,0,True,True,"HOSPITAL DE AMOR AMAZONIA",18.0,99.0,20.0,49.0,12.0
"Rio de Janeiro","RJ","Rio de Janeiro","7267975","2020-05-13T19:29:52.748Z",0.0,40.0,0.0,40,0.0,2,True,True,"SES RJ INSTITUTO ESTADUAL DO CEREBRO PAULO NIEMEYER",47.0,2.0,44.0,0.0,0.0
"Rio de Janeiro","RJ","Rio de Janeiro","7474059","2020-05-16T03:00:00.000Z",82.0,67.0,49.0,54,0.0,0,True,True,"HOSPITAL SAO LUCAS",0.0,119.0,68.0,0.0,0.0
"Pará","PA","Paragominas","7563701","2020-06-28T03:00:00.000Z",23.0,6.0,4.0,13,0.0,0,True,True,"HOSPITAL REGIONAL PUBLICO DO LESTE DO PARA",26.0,50.0,20.0,14.0,14.0
"São Paulo","SP","Presidente Prudente","7701810","2020-07-29T03:00:39.374Z",3.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL UNIMED",0.0,29.0,0.0,0.0,0.0
"Ceará","CE","Acopiara","9275134","2020-07-13T03:00:44.657Z",3.0,0.0,2.0,0,1.0,0,True,True,"HOSPITAL MUNICIPAL DE ACOPIARA",1.0,104.0,0.0,40.0,0.0
"Roraima","RR","Boa Vista","9472339","2020-07-07T15:31:04.742Z",140.0,9.0,21.0,0,3.0,0,True,True,"HOSPITAL DAS CLINICAS DR WILSON FRANCO RODRIGUES",11.0,146.0,6.0,0.0,0.0
"Rio de Janeiro","RJ","Rio de Janeiro","9614133","2020-06-01T12:15:25.343Z",30.0,10.0,2.0,1,0.0,0,True,True,"INTERMEDICA",0.0,55.0,18.0,0.0,0.0
"Paraná","PR","Curitiba","9907939","2020-05-15T00:00:00.000Z",3.0,0.0,0.0,0,0.0,0,True,True,"UNIDADE CUIDADOS CONTINUADOS INTEGRADOS SANTA TEREZINHA",0.0,50.0,0.0,0.0,0.0
"Paraná","PR","Corbélia","0105724","2020-05-26T03:00:00.000Z",0.0,0.0,0.0,0,3.0,0,True,True,"HOSPITAL DE CAMPANHA ECLEIA WOLF",0.0,52.0,0.0,0.0,0.0
"Bahia","BA","Salvador","0003859","2020-05-29T15:08:11.579Z",137.0,76.0,7.0,14,0.0,1,True,True,"HOSPITAL GERAL ROBERTO SANTOS",80.0,725.0,112.0,0.0,0.0
"Bahia","BA","Salvador","0004979","2020-05-13T17:06:40.149Z",36.0,8.0,0.0,0,0.0,1,True,True,"HOSPITAL EVANGELICO DA BAHIA HEB",0.0,64.0,5.0,0.0,0.0
"Sergipe","SE","Aracaju","0002232","2020-07-09T13:10:59.170Z",100.0,37.0,9.0,4,0.0,0,True,True,"HOSPITAL SANTA IZABEL",42.0,143.0,17.0,15.0,2.0
"São Paulo","SP","Itapevi","0102385","2020-07-25T22:56:46.927Z",0.0,0.0,5.0,0,3.0,0,True,True,"CENTRO DE COMBATE AO CORONAVIRUS COVID 19 ITAPEVI",2.0,10.0,0.0,0.0,0.0
"Minas Gerais","mg","São Gonçalo do Rio Abaixo","2170086","2020-07-27T03:00:31.874Z",4.0,0.0,0.0,0,0.0,0,True,True,"","","","","",""
"Mato Grosso do Sul","ms","Campo Grande","2599805","2020-07-29T11:11:00.000Z",0.0,0.0,0.0,0,0.0,0,True,True,"","","","","",""
"São Paulo","sp","São José dos Campos","3708608","2020-07-30T22:56:42.193Z",0.0,0.0,0.0,0,0.0,0,True,True,"","","","","",""
"Rio de Janeiro","rj","Magé","2278731","2020-06-22T13:57:18.583Z",0.0,0.0,0.0,0,0.0,0,True,True,"","","","","",""
"Rio de Janeiro","rj","Nova Iguaçu","2284103","2020-05-19T17:49:40.972Z",1.0,0.0,10.0,0,0.0,0,True,True,"","","","","",""
"Rio de Janeiro","rj","Belford Roxo","2297876","2020-07-17T03:00:00.000Z",0.0,0.0,0.0,0,0.0,0,True,True,"","","","","",""
"Rio de Janeiro","rj","Niterói","5237033","2020-04-30T03:00:00.000Z",5.0,0.0,0.0,0,1.0,0,True,True,"","","","","",""
"Rio de Janeiro","rj","Rio de Janeiro","5462886","2020-05-29T20:11:03.922Z",1.0,1.0,1.0,1,2.0,2,True,True,"","","","","",""
"Rio de Janeiro","rj","Rio de Janeiro","5955688","2020-05-29T19:20:02.096Z",3.0,1.0,1.0,0,0.0,0,True,True,"","","","","",""
"São Paulo","sp","Osasco","6123031","2020-07-16T03:00:55.936Z",9.0,5.0,1.0,1,2.0,2,True,True,"","","","","",""
"Rio de Janeiro","rj","Rio de Janeiro","6220584","2020-06-18T09:07:10.714Z",4.0,0.0,0.0,1,0.0,1,True,True,"","","","","",""
"Goiás","go","Buriti de Goiás","6538088","2020-07-06T11:59:13.462Z",0.0,0.0,0.0,0,0.0,0,True,True,"","","","","",""
"Goiás","go","Americano do Brasil","6556868","2020-05-15T19:05:43.198Z",12.0,0.0,0.0,0,0.0,0,True,True,"","","","","",""
"Maranhão","ma","São Luís","6913652","2020-05-12T15:38:25.412Z",11.0,3.0,14.0,20,2.0,0,True,True,"","","","","",""
"Maranhão","ma","Timon","6928331","2020-05-23T20:40:47.568Z",0.0,0.0,2.0,2,0.0,0,True,True,"","","","","",""
"Minas Gerais","mg","Juiz de Fora","7009079","2020-06-02T03:00:00.000Z",61.0,9.0,3.0,5,0.0,1,True,True,"","","","","",""
"Rio de Janeiro","rj","Mesquita","7065485","2020-06-05T13:59:27.439Z",1.0,0.0,0.0,0,0.0,1,True,True,"","","","","",""
"Pernambuco","pe","Petrolina","7731094","2020-07-20T03:00:19.828Z",0.0,0.0,0.0,0,0.0,0,True,True,"","","","","",""
"Rio de Janeiro","rj","Maricá","7755848","2020-07-13T03:00:50.807Z",89.0,0.0,15.0,15,1.0,0,True,True,"","","","","",""
"Rio Grande do Norte","rn","Parnamirim","7885199","2020-06-04T19:25:23.375Z",0.0,0.0,10.0,0,0.0,2,True,True,"","","","","",""
"Goiás","go","Moiporá","8007608","2020-07-16T07:12:36.000Z",0.0,0.0,0.0,0,0.0,0,True,True,"","","","","",""
"Bahia","ba","Feira de Santana","9091157","2020-05-26T15:46:48.612Z",2.0,0.0,1.0,0,0.0,0,True,True,"","","","","",""
